refund_id,refund_transaction_id,original_transaction_id,store_id,register_id,employee_id,approving_manager_id,customer_id,refund_datetime,refund_amount,refund_method,refund_reason,original_receipt_present,days_after_purchase,manager_override,risk_score,flagged,flag_reason
REF-000148,RTX-000148,TXN-0000922,PH-005,REG-01,EMP-0105,EMP-0091,CUS-00181,2026-07-22 21:39:47,48.13,Original Payment,No Receipt,False,23,True,70,True,No receipt; After 8 PM
REF-000149,RTX-000149,TXN-0003632,PH-002,REG-05,EMP-0025,EMP-0023,CUS-04438,2026-07-28 18:03:07,180.2,Gift Card,Customer Changed Mind,True,20,True,35,False,High value
REF-000150,RTX-000150,TXN-0000575,PH-003,REG-02,EMP-0046,EMP-0046,CUS-01828,2026-05-16 13:40:01,54.7,Cash,Other,True,5,True,15,False,
REF-000151,RTX-000151,TXN-0004072,PH-004,REG-05,EMP-0067,EMP-0079,CUS-03066,2026-06-15 18:07:24,50.47,Original Payment,No Receipt,False,9,True,50,True,No receipt
REF-000152,RTX-000152,TXN-0004556,PH-005,REG-01,EMP-0090,EMP-0091,CUS-04891,2026-08-13 22:58:07,54.21,Cash,Incorrect Product,True,24,True,35,False,After 8 PM
REF-000153,RTX-000153,TXN-0003432,PH-001,REG-06,EMP-0020,EMP-0012,CUS-04035,2026-05-29 16:16:19,234.91,Gift Card,Customer Changed Mind,True,3,True,35,False,High value
REF-000154,RTX-000154,TXN-0003227,PH-005,REG-01,EMP-0108,EMP-0101,,2026-06-24 22:02:26,50.76,Cash,Customer Changed Mind,True,6,True,35,False,After 8 PM
REF-000155,RTX-000155,TXN-0000081,PH-005,REG-03,EMP-0101,EMP-0091,CUS-01037,2026-06-27 13:03:08,82.25,Cash,Product Defective,True,12,True,35,False,High value
REF-000156,RTX-000156,TXN-0000459,PH-003,REG-04,EMP-0064,EMP-0047,,2026-07-19 21:41:30,29.78,Original Payment,No Receipt,True,10,True,35,False,After 8 PM
REF-000157,RTX-000157,TXN-0003277,PH-005,REG-01,EMP-0091,EMP-0089,CUS-04024,2026-05-22 11:52:11,33.36,Gift Card,Other,True,10,True,15,False,
REF-000158,RTX-000158,TXN-0000074,PH-005,REG-02,EMP-0106,EMP-0101,,2026-07-15 11:07:09,50.45,Gift Card,Incorrect Product,False,17,True,50,True,No receipt
REF-000159,RTX-000159,TXN-0003730,PH-002,REG-06,EMP-0038,EMP-0034,CUS-04979,2026-05-07 11:05:15,20.77,Cash,Product Defective,True,4,True,15,False,
REF-000160,RTX-000160,TXN-0004138,PH-002,REG-06,EMP-0024,EMP-0024,,2026-07-27 11:34:52,23.95,Gift Card,Customer Changed Mind,True,3,True,15,False,
REF-000161,RTX-000161,TXN-0002187,PH-001,REG-01,EMP-0013,EMP-0001,CUS-03941,2026-05-20 20:52:11,35.47,Cash,Customer Changed Mind,False,15,True,70,True,No receipt; After 8 PM
REF-000162,RTX-000162,TXN-0002052,PH-002,REG-01,EMP-0041,EMP-0035,CUS-02869,2026-06-09 13:19:05,74.8,Gift Card,Customer Changed Mind,True,24,True,15,False,
REF-000163,RTX-000163,TXN-0000902,PH-001,REG-01,EMP-0020,EMP-0013,,2026-06-13 17:15:08,19.53,Original Payment,No Receipt,True,6,True,15,False,
REF-000164,RTX-000164,TXN-0004514,PH-003,REG-01,EMP-0058,EMP-0056,CUS-03677,2026-07-10 11:11:21,15.74,Original Payment,Product Defective,False,5,True,50,True,No receipt
REF-000165,RTX-000165,TXN-0004066,PH-005,REG-05,EMP-0102,EMP-0090,CUS-04628,2026-08-04 20:14:04,28.23,Original Payment,Incorrect Product,True,19,True,35,False,After 8 PM
REF-000166,RTX-000166,TXN-0000611,PH-003,REG-06,EMP-0056,EMP-0047,CUS-02725,2026-05-03 19:01:22,51.78,Gift Card,Customer Changed Mind,True,1,True,15,False,
REF-000167,RTX-000167,TXN-0002147,PH-002,REG-04,EMP-0023,EMP-0023,CUS-00391,2026-05-29 14:45:43,53.54,Cash,Customer Changed Mind,True,20,True,15,False,
REF-000168,RTX-000168,TXN-0004226,PH-002,REG-03,EMP-0025,EMP-0025,CUS-04416,2026-07-01 18:25:34,180.25,Original Payment,No Receipt,True,10,True,35,False,High value
REF-000169,RTX-000169,TXN-0003987,PH-001,REG-04,EMP-0003,EMP-0001,CUS-04709,2026-07-16 15:53:10,6.71,Cash,Other,True,3,True,15,False,
REF-000170,RTX-000170,TXN-0003668,PH-004,REG-05,EMP-0086,EMP-0068,CUS-00828,2026-07-27 18:39:27,84.84,Cash,Product Defective,True,14,True,35,False,High value
REF-000171,RTX-000171,TXN-0000803,PH-002,REG-03,EMP-0036,EMP-0034,CUS-04766,2026-07-07 16:07:37,159.71,Original Payment,No Receipt,True,16,True,35,False,High value
REF-000172,RTX-000172,TXN-0002671,PH-002,REG-06,EMP-0042,EMP-0034,CUS-03398,2026-07-08 22:40:03,59.8,Gift Card,No Receipt,True,1,True,35,False,After 8 PM
REF-000173,RTX-000173,TXN-0004936,PH-004,REG-05,EMP-0069,EMP-0079,CUS-03330,2026-07-31 12:40:54,6.1,Gift Card,Incorrect Product,True,20,True,15,False,
REF-000174,RTX-000174,TXN-0003057,PH-003,REG-06,EMP-0047,EMP-0046,CUS-02034,2026-06-05 08:13:46,142.85,Cash,Incorrect Product,True,12,True,35,False,High value
REF-000175,RTX-000175,TXN-0004615,PH-005,REG-05,EMP-0089,EMP-0100,CUS-04728,2026-08-06 21:05:22,49.88,Gift Card,Other,True,6,True,35,False,After 8 PM
REF-000176,RTX-000176,TXN-0004572,PH-001,REG-05,EMP-0014,EMP-0013,CUS-03001,2026-05-11 19:28:38,61.56,Gift Card,Incorrect Product,False,5,True,50,True,No receipt
REF-000177,RTX-000177,TXN-0000352,PH-003,REG-02,EMP-0064,EMP-0056,CUS-04574,2026-08-12 21:30:16,46.14,Original Payment,Other,False,21,True,70,True,No receipt; After 8 PM
REF-000178,RTX-000178,TXN-0000998,PH-005,REG-04,EMP-0089,EMP-0090,CUS-04218,2026-06-30 21:44:01,154.2,Original Payment,Product Defective,True,24,True,55,True,After 8 PM; High value
REF-000179,RTX-000179,TXN-0003538,PH-003,REG-04,EMP-0061,EMP-0047,CUS-03384,2026-07-25 20:15:05,4.05,Cash,Product Defective,True,4,True,35,False,After 8 PM
REF-000180,RTX-000180,TXN-0002197,PH-001,REG-01,EMP-0006,EMP-0012,CUS-02250,2026-05-29 16:28:51,36.71,Gift Card,No Receipt,True,1,True,15,False,
REF-000181,RTX-000181,TXN-0002470,PH-003,REG-01,EMP-0061,EMP-0046,CUS-03937,2026-07-15 11:00:39,53.25,Gift Card,Customer Changed Mind,False,21,True,50,True,No receipt
REF-000182,RTX-000182,TXN-0004480,PH-002,REG-05,EMP-0041,EMP-0024,CUS-02438,2026-06-23 18:31:21,54.17,Original Payment,Other,True,9,True,15,False,
REF-000183,RTX-000183,TXN-0003541,PH-004,REG-03,EMP-0086,EMP-0069,CUS-03651,2026-06-06 12:24:04,69.7,Original Payment,No Receipt,True,7,True,15,False,
REF-000184,RTX-000184,TXN-0003600,PH-003,REG-04,EMP-0056,EMP-0047,CUS-01330,2026-08-17 12:32:24,9.28,Cash,Customer Changed Mind,True,23,True,15,False,
REF-000185,RTX-000185,TXN-0004687,PH-005,REG-06,EMP-0101,EMP-0100,CUS-00542,2026-06-24 09:52:57,53.32,Gift Card,No Receipt,True,4,True,15,False,
REF-000186,RTX-000186,TXN-0003812,PH-005,REG-03,EMP-0104,EMP-0100,CUS-03842,2026-08-10 16:37:45,70.86,Original Payment,Other,True,22,True,15,False,
REF-000187,RTX-000187,TXN-0000032,PH-005,REG-03,EMP-0108,EMP-0090,CUS-01787,2026-08-07 17:30:08,146.82,Original Payment,No Receipt,True,15,True,35,False,High value
REF-000188,RTX-000188,TXN-0004618,PH-001,REG-04,EMP-0006,EMP-0002,,2026-07-25 20:23:58,5.04,Gift Card,Customer Changed Mind,True,2,True,35,False,After 8 PM
REF-000189,RTX-000189,TXN-0003053,PH-005,REG-03,EMP-0103,EMP-0089,CUS-04358,2026-05-31 12:02:01,20.58,Original Payment,Incorrect Product,True,7,True,15,False,
REF-000190,RTX-000190,TXN-0002593,PH-003,REG-05,EMP-0046,EMP-0047,CUS-04295,2026-07-27 21:25:00,24.04,Original Payment,No Receipt,True,14,True,35,False,After 8 PM
REF-000191,RTX-000191,TXN-0004958,PH-004,REG-04,EMP-0086,EMP-0067,CUS-00498,2026-08-05 16:57:23,205.56,Gift Card,Product Defective,True,14,True,35,False,High value
REF-000192,RTX-000192,TXN-0004496,PH-001,REG-06,EMP-0016,EMP-0003,CUS-01429,2026-05-27 20:48:44,23.38,Gift Card,No Receipt,True,7,True,35,False,After 8 PM
REF-000193,RTX-000193,TXN-0003897,PH-002,REG-01,EMP-0023,EMP-0023,CUS-04396,2026-06-05 16:55:11,53.74,Cash,Incorrect Product,True,18,True,15,False,
REF-000194,RTX-000194,TXN-0004960,PH-004,REG-02,EMP-0081,EMP-0078,CUS-03955,2026-07-21 16:03:45,10.18,Cash,Incorrect Product,False,6,True,50,True,No receipt
REF-000195,RTX-000195,TXN-0000589,PH-004,REG-06,EMP-0079,EMP-0067,,2026-06-06 23:34:42,1.43,Original Payment,Product Defective,True,24,True,35,False,After 8 PM
REF-000196,RTX-000196,TXN-0003747,PH-003,REG-05,EMP-0058,EMP-0057,CUS-04033,2026-07-19 13:33:22,53.35,Gift Card,Customer Changed Mind,True,23,True,15,False,
REF-000197,RTX-000197,TXN-0000246,PH-003,REG-03,EMP-0063,EMP-0047,CUS-03578,2026-07-24 10:48:05,57.63,Cash,Product Defective,False,24,True,50,True,No receipt
REF-000198,RTX-000198,TXN-0002526,PH-003,REG-05,EMP-0064,EMP-0047,CUS-03247,2026-07-11 00:13:40,16.64,Cash,Customer Changed Mind,True,3,True,15,False,
REF-000199,RTX-000199,TXN-0003329,PH-005,REG-02,EMP-0090,EMP-0101,CUS-01522,2026-07-06 01:31:20,141.81,Gift Card,No Receipt,True,19,True,35,False,High value
REF-000200,RTX-000200,TXN-0004277,PH-001,REG-02,EMP-0019,EMP-0013,CUS-02776,2026-06-12 10:22:17,43.8,Gift Card,Product Defective,False,3,True,50,True,No receipt
REF-000201,RTX-000201,TXN-0003548,PH-005,REG-03,EMP-0103,EMP-0090,CUS-00466,2026-07-01 15:58:27,24.51,Original Payment,Customer Changed Mind,True,10,True,15,False,
REF-000202,RTX-000202,TXN-0003426,PH-002,REG-01,EMP-0023,EMP-0035,CUS-01589,2026-05-16 14:01:23,45.73,Gift Card,Other,False,8,True,50,True,No receipt
REF-000203,RTX-000203,TXN-0003142,PH-004,REG-06,EMP-0085,EMP-0078,CUS-03847,2026-07-28 13:42:22,49.26,Gift Card,No Receipt,True,16,True,15,False,
REF-000204,RTX-000204,TXN-0004394,PH-001,REG-06,EMP-0016,EMP-0002,CUS-03702,2026-07-15 20:07:01,65.41,Cash,Customer Changed Mind,True,20,True,35,False,After 8 PM
REF-000205,RTX-000205,TXN-0004261,PH-005,REG-04,EMP-0090,EMP-0100,CUS-04741,2026-06-10 20:47:26,29.5,Cash,No Receipt,True,24,True,35,False,After 8 PM
REF-000206,RTX-000206,TXN-0001219,PH-002,REG-01,EMP-0040,EMP-0035,,2026-07-29 20:14:03,42.71,Gift Card,Customer Changed Mind,True,11,True,35,False,After 8 PM
REF-000207,RTX-000207,TXN-0002003,PH-002,REG-05,EMP-0041,EMP-0024,,2026-08-07 13:21:49,37.11,Gift Card,Customer Changed Mind,True,8,True,15,False,
REF-000208,RTX-000208,TXN-0003848,PH-004,REG-05,EMP-0081,EMP-0069,CUS-02419,2026-06-16 12:25:49,200.28,Gift Card,Other,True,13,True,35,False,High value
REF-000209,RTX-000209,TXN-0002667,PH-004,REG-05,EMP-0083,EMP-0067,CUS-02050,2026-08-12 13:39:12,50.14,Gift Card,Product Defective,True,23,True,15,False,
REF-000210,RTX-000210,TXN-0004930,PH-003,REG-05,EMP-0047,EMP-0057,CUS-01997,2026-06-08 16:52:56,3.18,Gift Card,Other,False,2,True,50,True,No receipt
REF-000211,RTX-000211,TXN-0001208,PH-002,REG-02,EMP-0038,EMP-0034,CUS-00273,2026-08-09 14:38:09,66.65,Gift Card,Product Defective,True,18,True,15,False,
REF-000212,RTX-000212,TXN-0004084,PH-005,REG-03,EMP-0090,EMP-0101,CUS-01447,2026-06-05 11:58:55,41.56,Gift Card,Product Defective,True,23,True,15,False,
REF-000213,RTX-000213,TXN-0001604,PH-005,REG-04,EMP-0103,EMP-0100,CUS-01586,2026-08-02 11:20:20,60.98,Original Payment,Product Defective,True,11,True,15,False,
REF-000214,RTX-000214,TXN-0000862,PH-001,REG-01,EMP-0017,EMP-0013,CUS-00117,2026-06-08 09:22:50,36.92,Cash,Customer Changed Mind,True,10,True,15,False,
REF-000215,RTX-000215,TXN-0000799,PH-001,REG-02,EMP-0015,EMP-0002,CUS-03693,2026-05-19 16:41:18,72.44,Gift Card,Customer Changed Mind,True,18,True,15,False,
REF-000216,RTX-000216,TXN-0004263,PH-004,REG-05,EMP-0084,EMP-0067,CUS-00530,2026-06-09 19:10:18,17.2,Original Payment,Other,True,20,True,15,False,
REF-000217,RTX-000217,TXN-0000174,PH-005,REG-03,EMP-0108,EMP-0091,,2026-07-15 16:41:43,9.64,Cash,Product Defective,True,22,True,15,False,
REF-000218,RTX-000218,TXN-0004879,PH-001,REG-04,EMP-0003,EMP-0002,,2026-07-30 15:52:24,19.8,Original Payment,Other,False,11,True,50,True,No receipt
REF-000219,RTX-000219,TXN-0000619,PH-005,REG-05,EMP-0089,EMP-0100,CUS-01373,2026-06-15 15:21:34,199.07,Original Payment,Other,True,5,True,35,False,High value
REF-000220,RTX-000220,TXN-0003877,PH-005,REG-06,EMP-0100,EMP-0101,,2026-07-12 15:04:23,11.11,Original Payment,Incorrect Product,True,20,True,15,False,
REF-000221,RTX-000221,TXN-0004875,PH-001,REG-04,EMP-0019,EMP-0001,CUS-00023,2026-07-27 03:26:00,234.72,Cash,Product Defective,False,22,True,95,True,Potential duplicate refund across locations
REF-000222,RTX-000222,TXN-0002019,PH-001,REG-03,EMP-0013,EMP-0003,CUS-00802,2026-07-13 19:25:00,51.78,Gift Card,Other,False,36,True,95,True,Potential duplicate refund across locations
REF-000223,RTX-000223,TXN-0000626,PH-002,REG-02,EMP-0041,EMP-0023,CUS-00446,2026-07-05 11:25:00,40.93,Gift Card,No Receipt,False,12,True,95,True,Potential duplicate refund across locations
REF-000224,RTX-000224,TXN-0002150,PH-005,REG-04,EMP-0106,EMP-0090,,2026-07-16 05:42:00,32.98,Gift Card,Customer Changed Mind,False,15,True,95,True,Potential duplicate refund across locations
REF-000225,RTX-000225,TXN-0001691,PH-002,REG-03,EMP-0025,EMP-0024,CUS-04618,2026-07-20 04:47:00,58.26,Gift Card,No Receipt,False,29,True,95,True,Potential duplicate refund across locations
REF-000226,RTX-000226,TXN-0000814,PH-004,REG-04,EMP-0083,EMP-0068,CUS-04022,2026-07-02 20:15:00,4.02,Cash,Customer Changed Mind,False,23,True,95,True,Potential duplicate refund across locations
REF-000227,RTX-000227,TXN-0002379,PH-001,REG-06,EMP-0017,EMP-0002,CUS-02118,2026-07-26 06:13:00,14.49,Gift Card,Incorrect Product,False,77,True,95,True,Potential duplicate refund across locations
REF-000228,RTX-000228,TXN-0004114,PH-004,REG-01,EMP-0067,EMP-0078,CUS-03764,2026-07-03 18:12:00,34.08,Cash,Product Defective,False,-19,True,95,True,Potential duplicate refund across locations
REF-000229,RTX-000229,TXN-0000266,PH-005,REG-03,EMP-0104,EMP-0090,CUS-02665,2026-08-01 17:02:00,66.64,Gift Card,Incorrect Product,False,0,True,95,True,Potential duplicate refund across locations
REF-000230,RTX-000230,TXN-0001076,PH-002,REG-06,EMP-0042,EMP-0034,CUS-04598,2026-07-05 01:45:00,2.36,Original Payment,Other,False,-6,True,95,True,Potential duplicate refund across locations
REF-000231,RTX-000231,TXN-0002610,PH-005,REG-05,EMP-0090,EMP-0090,,2026-07-05 07:48:00,59.96,Original Payment,Incorrect Product,False,-23,True,95,True,Potential duplicate refund across locations
REF-000232,RTX-000232,TXN-0000917,PH-003,REG-05,EMP-0057,EMP-0047,CUS-02880,2026-08-01 06:56:00,5.51,Cash,Customer Changed Mind,False,87,True,95,True,Potential duplicate refund across locations
