adjustment_id,store_id,product_id,employee_id,approving_manager_id,adjustment_datetime,adjustment_type,quantity_before,adjustment_quantity,quantity_after,adjustment_value,reason,reference_document,flagged,flag_reason
ADJ-0000180,PH-001,PRD-00051,EMP-0022,EMP-0003,2026-07-10 18:00:00,Cycle Count,84,2,86,42.08,Cycle Count,,False,
ADJ-0000181,PH-001,PRD-00382,EMP-0003,EMP-0013,2026-07-28 11:00:00,Cycle Count,46,2,48,64.38,Cycle Count,,False,
ADJ-0000182,PH-001,PRD-00027,EMP-0019,EMP-0003,2026-07-22 12:00:00,Cycle Count,87,1,88,8.07,Cycle Count,,False,
ADJ-0000183,PH-001,PRD-00344,EMP-0012,EMP-0012,2026-07-15 20:00:00,Shrinkage,93,-3,90,-67.41,Shrinkage,,False,
ADJ-0000184,PH-001,PRD-00166,EMP-0003,EMP-0003,2026-07-26 10:00:00,Shrinkage,66,-2,64,-45.26,Shrinkage,,False,
ADJ-0000185,PH-001,PRD-00490,EMP-0014,EMP-0001,2026-07-12 12:00:00,Cycle Count,71,2,73,46.94,Cycle Count,,False,
ADJ-0000186,PH-001,PRD-00053,EMP-0009,EMP-0001,2026-07-16 08:00:00,Cycle Count,41,2,43,25.8,Cycle Count,,False,
ADJ-0000187,PH-001,PRD-00444,EMP-0002,EMP-0012,2026-07-06 16:00:00,Shrinkage,25,-3,22,-70.26,Shrinkage,,False,
ADJ-0000188,PH-001,PRD-00780,EMP-0018,EMP-0013,2026-07-10 13:00:00,Shrinkage,13,-3,10,-62.22,Shrinkage,,False,
ADJ-0000189,PH-001,PRD-00436,EMP-0005,EMP-0002,2026-07-28 17:00:00,Cycle Count,27,1,28,26.82,Cycle Count,,False,
ADJ-0000190,PH-001,PRD-00495,EMP-0019,EMP-0002,2026-07-12 19:00:00,Cycle Count,68,1,69,19.17,Cycle Count,,False,
ADJ-0000191,PH-001,PRD-00670,EMP-0004,EMP-0003,2026-07-09 19:00:00,Cycle Count,20,2,22,54.14,Cycle Count,,False,
ADJ-0000192,PH-001,PRD-00231,EMP-0009,EMP-0002,2026-07-19 20:00:00,Cycle Count,22,2,24,17.64,Cycle Count,,False,
ADJ-0000193,PH-001,PRD-00169,EMP-0002,EMP-0002,2026-07-26 12:00:00,Shrinkage,8,-3,5,-6.72,Shrinkage,,False,
ADJ-0000194,PH-001,PRD-00701,EMP-0018,EMP-0013,2026-07-11 14:00:00,Shrinkage,49,-3,46,-15.33,Shrinkage,,False,
ADJ-0000195,PH-001,PRD-00740,EMP-0018,EMP-0001,2026-07-09 12:00:00,Cycle Count,98,1,99,27.49,Cycle Count,,False,
ADJ-0000196,PH-001,PRD-00512,EMP-0011,EMP-0001,2026-07-10 10:00:00,Shrinkage,22,-2,20,-62.22,Shrinkage,,False,
ADJ-0000197,PH-001,PRD-00673,EMP-0016,EMP-0001,2026-07-12 15:00:00,Cycle Count,67,1,68,21.46,Cycle Count,,False,
ADJ-0000198,PH-001,PRD-00627,EMP-0013,EMP-0003,2026-07-10 15:00:00,Shrinkage,31,-1,30,-9.74,Shrinkage,,False,
ADJ-0000199,PH-001,PRD-00291,EMP-0019,EMP-0002,2026-07-05 17:00:00,Cycle Count,41,2,43,13.82,Cycle Count,,False,
ADJ-0000200,PH-001,PRD-00266,EMP-0010,EMP-0001,2026-07-05 10:00:00,Shrinkage,11,-2,9,-37.96,Shrinkage,,False,
ADJ-0000201,PH-001,PRD-00251,EMP-0004,EMP-0002,2026-07-04 18:00:00,Shrinkage,31,-3,28,-44.19,Shrinkage,,False,
ADJ-0000202,PH-001,PRD-00698,EMP-0015,EMP-0001,2026-07-13 18:00:00,Cycle Count,17,2,19,50.14,Cycle Count,,False,
ADJ-0000203,PH-001,PRD-00332,EMP-0008,EMP-0002,2026-07-19 09:00:00,Shrinkage,50,-1,49,-28.74,Shrinkage,,False,
ADJ-0000204,PH-001,PRD-00358,EMP-0005,EMP-0003,2026-07-30 18:00:00,Shrinkage,27,-2,25,-59.66,Shrinkage,,False,
ADJ-0000205,PH-001,PRD-00714,EMP-0021,EMP-0012,2026-07-31 09:00:00,Shrinkage,8,-2,6,-69.82,Shrinkage,,False,
ADJ-0000206,PH-001,PRD-00066,EMP-0005,EMP-0001,2026-07-10 14:00:00,Cycle Count,6,3,9,20.1,Cycle Count,,False,
ADJ-0000207,PH-001,PRD-00210,EMP-0008,EMP-0002,2026-07-18 16:00:00,Shrinkage,98,-3,95,-102.93,Shrinkage,,False,
ADJ-0000208,PH-001,PRD-00148,EMP-0006,EMP-0001,2026-07-31 19:00:00,Shrinkage,0,0,0,0.0,Shrinkage,,False,
ADJ-0000209,PH-001,PRD-00035,EMP-0004,EMP-0012,2026-07-07 17:00:00,Cycle Count,97,3,100,94.02,Cycle Count,,False,
ADJ-0000210,PH-001,PRD-00494,EMP-0018,EMP-0012,2026-07-05 18:00:00,Cycle Count,82,1,83,1.0,Cycle Count,,False,
ADJ-0000211,PH-001,PRD-00665,EMP-0015,EMP-0003,2026-07-17 21:00:00,Shrinkage,22,-3,19,-100.92,Shrinkage,,False,
ADJ-0000212,PH-001,PRD-00587,EMP-0007,EMP-0001,2026-07-12 19:00:00,Shrinkage,57,-3,54,-21.0,Shrinkage,,False,
ADJ-0000213,PH-001,PRD-00263,EMP-0010,EMP-0002,2026-07-01 08:00:00,Shrinkage,92,-3,89,-52.41,Shrinkage,,False,
ADJ-0000214,PH-001,PRD-00615,EMP-0001,EMP-0001,2026-07-19 11:00:00,Shrinkage,40,-2,38,-53.84,Shrinkage,,False,
ADJ-0000215,PH-001,PRD-00226,EMP-0002,EMP-0012,2026-07-25 13:00:00,Cycle Count,12,3,15,92.34,Cycle Count,,False,
ADJ-0000216,PH-001,PRD-00343,EMP-0017,EMP-0013,2026-07-26 20:00:00,Cycle Count,90,2,92,22.72,Cycle Count,,False,
ADJ-0000217,PH-001,PRD-00152,EMP-0022,EMP-0003,2026-07-16 20:00:00,Shrinkage,61,-3,58,-40.95,Shrinkage,,False,
ADJ-0000218,PH-001,PRD-00657,EMP-0011,EMP-0012,2026-07-01 08:00:00,Cycle Count,60,1,61,18.43,Cycle Count,,False,
ADJ-0000219,PH-001,PRD-00327,EMP-0007,EMP-0001,2026-07-17 15:00:00,Cycle Count,36,2,38,44.4,Cycle Count,,False,
ADJ-0000220,PH-001,PRD-00550,EMP-0002,EMP-0002,2026-07-30 08:00:00,Cycle Count,12,3,15,84.75,Cycle Count,,False,
ADJ-0000221,PH-001,PRD-00753,EMP-0013,EMP-0001,2026-07-23 13:00:00,Cycle Count,83,2,85,17.46,Cycle Count,,False,
ADJ-0000222,PH-001,PRD-00600,EMP-0017,EMP-0012,2026-07-25 12:00:00,Cycle Count,40,2,42,14.72,Cycle Count,,False,
ADJ-0000223,PH-001,PRD-00613,EMP-0021,EMP-0001,2026-07-17 17:00:00,Cycle Count,75,1,76,24.81,Cycle Count,,False,
ADJ-0000224,PH-001,PRD-00668,EMP-0015,EMP-0001,2026-07-09 20:00:00,Shrinkage,30,-3,27,-69.36,Shrinkage,,False,
ADJ-0000225,PH-001,PRD-00390,EMP-0018,EMP-0003,2026-07-06 08:00:00,Shrinkage,11,-3,8,-27.9,Shrinkage,,False,
ADJ-0000226,PH-001,PRD-00737,EMP-0009,EMP-0003,2026-07-17 15:00:00,Cycle Count,33,3,36,65.88,Cycle Count,,False,
ADJ-0000227,PH-001,PRD-00100,EMP-0002,EMP-0012,2026-07-30 19:00:00,Cycle Count,0,2,2,4.2,Cycle Count,,False,
ADJ-0000228,PH-001,PRD-00095,EMP-0013,EMP-0013,2026-07-28 08:00:00,Cycle Count,17,2,19,66.24,Cycle Count,,False,
ADJ-0000229,PH-001,PRD-00293,EMP-0021,EMP-0002,2026-07-24 08:00:00,Shrinkage,82,-1,81,-23.31,Shrinkage,,False,
ADJ-0000230,PH-001,PRD-00751,EMP-0004,EMP-0002,2026-07-03 11:00:00,Cycle Count,10,1,11,22.79,Cycle Count,,False,
ADJ-0000231,PH-001,PRD-00492,EMP-0019,EMP-0002,2026-07-09 20:00:00,Cycle Count,60,1,61,13.97,Cycle Count,,False,
ADJ-0000232,PH-001,PRD-00559,EMP-0005,EMP-0012,2026-07-29 15:00:00,Cycle Count,4,2,6,28.76,Cycle Count,,False,
ADJ-0000233,PH-001,PRD-00012,EMP-0003,EMP-0002,2026-07-18 10:00:00,Cycle Count,54,3,57,2.61,Cycle Count,,False,
ADJ-0000234,PH-001,PRD-00189,EMP-0002,EMP-0013,2026-07-06 19:00:00,Cycle Count,23,2,25,50.74,Cycle Count,,False,
ADJ-0000235,PH-001,PRD-00144,EMP-0014,EMP-0012,2026-07-10 09:00:00,Cycle Count,67,1,68,3.09,Cycle Count,,False,
ADJ-0000236,PH-001,PRD-00500,EMP-0017,EMP-0001,2026-07-31 14:00:00,Shrinkage,66,-3,63,-33.21,Shrinkage,,False,
ADJ-0000237,PH-001,PRD-00730,EMP-0003,EMP-0012,2026-07-16 20:00:00,Shrinkage,75,-2,73,-12.98,Shrinkage,,False,
ADJ-0000238,PH-001,PRD-00789,EMP-0012,EMP-0001,2026-07-07 13:00:00,Shrinkage,67,-3,64,-42.39,Shrinkage,,False,
ADJ-0000239,PH-001,PRD-00256,EMP-0022,EMP-0013,2026-07-24 10:00:00,Cycle Count,95,3,98,100.59,Cycle Count,,False,
ADJ-0000240,PH-001,PRD-00489,EMP-0010,EMP-0013,2026-07-14 19:00:00,Cycle Count,32,2,34,55.36,Cycle Count,,False,
ADJ-0000241,PH-001,PRD-00705,EMP-0021,EMP-0013,2026-07-10 11:00:00,Cycle Count,45,2,47,8.18,Cycle Count,,False,
ADJ-0000242,PH-001,PRD-00589,EMP-0012,EMP-0012,2026-07-05 18:00:00,Cycle Count,1,2,3,50.5,Cycle Count,,False,
ADJ-0000243,PH-001,PRD-00218,EMP-0017,EMP-0002,2026-07-22 18:00:00,Cycle Count,56,1,57,19.35,Cycle Count,,False,
ADJ-0000244,PH-001,PRD-00502,EMP-0011,EMP-0002,2026-07-15 10:00:00,Shrinkage,63,-2,61,-62.26,Shrinkage,,False,
ADJ-0000245,PH-001,PRD-00289,EMP-0016,EMP-0013,2026-07-31 10:00:00,Shrinkage,49,-1,48,-7.63,Shrinkage,,False,
ADJ-0000246,PH-001,PRD-00198,EMP-0020,EMP-0001,2026-07-02 09:00:00,Shrinkage,5,-1,4,-34.16,Shrinkage,,False,
ADJ-0000247,PH-001,PRD-00174,EMP-0007,EMP-0012,2026-07-02 20:00:00,Cycle Count,32,3,35,90.84,Cycle Count,,False,
ADJ-0000248,PH-001,PRD-00182,EMP-0007,EMP-0003,2026-07-21 09:00:00,Shrinkage,33,-2,31,-31.9,Shrinkage,,False,
ADJ-0000249,PH-001,PRD-00311,EMP-0015,EMP-0013,2026-07-16 11:00:00,Shrinkage,86,-1,85,-5.56,Shrinkage,,False,
ADJ-0000250,PH-001,PRD-00126,EMP-0009,EMP-0013,2026-07-16 18:00:00,Shrinkage,30,-3,27,-38.22,Shrinkage,,False,
ADJ-0000251,PH-001,PRD-00191,EMP-0005,EMP-0013,2026-07-13 13:00:00,Shrinkage,56,-1,55,-29.23,Shrinkage,,False,
ADJ-0000252,PH-001,PRD-00573,EMP-0003,EMP-0002,2026-07-20 16:00:00,Cycle Count,69,2,71,12.6,Cycle Count,,False,
ADJ-0000253,PH-001,PRD-00022,EMP-0018,EMP-0001,2026-07-24 12:00:00,Shrinkage,100,-2,98,-18.94,Shrinkage,,False,
ADJ-0000254,PH-001,PRD-00016,EMP-0020,EMP-0002,2026-07-14 19:00:00,Cycle Count,51,1,52,34.19,Cycle Count,,False,
ADJ-0000255,PH-001,PRD-00528,EMP-0004,EMP-0003,2026-07-17 19:00:00,Cycle Count,37,2,39,44.2,Cycle Count,,False,
ADJ-0000256,PH-001,PRD-00795,EMP-0017,EMP-0001,2026-07-13 10:00:00,Shrinkage,52,-3,49,-81.33,Shrinkage,,False,
ADJ-0000257,PH-001,PRD-00208,EMP-0013,EMP-0002,2026-07-13 18:00:00,Cycle Count,86,2,88,23.32,Cycle Count,,False,
ADJ-0000258,PH-001,PRD-00722,EMP-0005,EMP-0012,2026-07-02 09:00:00,Shrinkage,12,-2,10,-36.62,Shrinkage,,False,
ADJ-0000259,PH-001,PRD-00094,EMP-0019,EMP-0002,2026-07-09 13:00:00,Cycle Count,87,1,88,22.6,Cycle Count,,False,
ADJ-0000260,PH-001,PRD-00481,EMP-0018,EMP-0002,2026-07-12 19:00:00,Cycle Count,63,1,64,4.26,Cycle Count,,False,
ADJ-0000261,PH-001,PRD-00744,EMP-0012,EMP-0002,2026-07-15 18:00:00,Cycle Count,92,1,93,22.68,Cycle Count,,False,
ADJ-0000262,PH-001,PRD-00377,EMP-0007,EMP-0002,2026-07-15 16:00:00,Cycle Count,9,1,10,27.01,Cycle Count,,False,
ADJ-0000263,PH-001,PRD-00603,EMP-0018,EMP-0001,2026-07-04 20:00:00,Shrinkage,33,-2,31,-57.64,Shrinkage,,False,
ADJ-0000264,PH-002,PRD-00230,EMP-0026,EMP-0024,2026-07-28 14:00:00,Shrinkage,62,-2,60,-47.34,Shrinkage,,False,
ADJ-0000265,PH-002,PRD-00542,EMP-0034,EMP-0025,2026-07-16 11:00:00,Cycle Count,96,3,99,50.7,Cycle Count,,False,
ADJ-0000266,PH-002,PRD-00428,EMP-0028,EMP-0035,2026-07-06 09:00:00,Cycle Count,16,3,19,62.16,Cycle Count,,False,
ADJ-0000267,PH-002,PRD-00173,EMP-0023,EMP-0035,2026-07-27 08:00:00,Shrinkage,29,-3,26,-98.16,Shrinkage,,False,
ADJ-0000268,PH-002,PRD-00571,EMP-0038,EMP-0024,2026-07-05 16:00:00,Cycle Count,60,1,61,23.81,Cycle Count,,False,
ADJ-0000269,PH-002,PRD-00609,EMP-0043,EMP-0034,2026-07-28 11:00:00,Shrinkage,68,-1,67,-32.55,Shrinkage,,False,
ADJ-0000270,PH-002,PRD-00614,EMP-0036,EMP-0034,2026-07-22 15:00:00,Shrinkage,55,-1,54,-23.27,Shrinkage,,False,
ADJ-0000271,PH-002,PRD-00413,EMP-0023,EMP-0024,2026-07-11 09:00:00,Shrinkage,53,-2,51,-31.86,Shrinkage,,False,
ADJ-0000272,PH-002,PRD-00619,EMP-0024,EMP-0023,2026-07-18 18:00:00,Cycle Count,31,1,32,16.52,Cycle Count,,False,
ADJ-0000273,PH-002,PRD-00778,EMP-0032,EMP-0025,2026-07-13 11:00:00,Cycle Count,12,2,14,39.76,Cycle Count,,False,
ADJ-0000274,PH-002,PRD-00491,EMP-0025,EMP-0023,2026-07-04 09:00:00,Cycle Count,51,3,54,37.8,Cycle Count,,False,
ADJ-0000275,PH-002,PRD-00265,EMP-0035,EMP-0034,2026-07-29 17:00:00,Shrinkage,19,-1,18,-18.07,Shrinkage,,False,
ADJ-0000276,PH-002,PRD-00158,EMP-0028,EMP-0035,2026-07-26 08:00:00,Shrinkage,12,-2,10,-26.7,Shrinkage,,False,
ADJ-0000277,PH-002,PRD-00705,EMP-0036,EMP-0024,2026-07-10 14:00:00,Cycle Count,27,3,30,12.27,Cycle Count,,False,
ADJ-0000278,PH-002,PRD-00783,EMP-0044,EMP-0025,2026-07-02 19:00:00,Cycle Count,48,3,51,66.0,Cycle Count,,False,
ADJ-0000279,PH-002,PRD-00430,EMP-0035,EMP-0023,2026-07-30 11:00:00,Shrinkage,50,-3,47,-78.39,Shrinkage,,False,
ADJ-0000280,PH-002,PRD-00416,EMP-0040,EMP-0034,2026-07-31 14:00:00,Cycle Count,22,2,24,61.44,Cycle Count,,False,
ADJ-0000281,PH-002,PRD-00474,EMP-0033,EMP-0023,2026-07-31 12:00:00,Shrinkage,1,-1,0,-32.12,Shrinkage,,False,
ADJ-0000282,PH-002,PRD-00325,EMP-0031,EMP-0024,2026-07-27 11:00:00,Shrinkage,84,-2,82,-28.74,Shrinkage,,False,
ADJ-0000283,PH-002,PRD-00131,EMP-0041,EMP-0035,2026-07-31 19:00:00,Shrinkage,97,-2,95,-12.28,Shrinkage,,False,
ADJ-0000284,PH-002,PRD-00581,EMP-0044,EMP-0025,2026-07-25 11:00:00,Cycle Count,25,3,28,57.69,Cycle Count,,False,
ADJ-0000285,PH-002,PRD-00525,EMP-0041,EMP-0023,2026-07-25 12:00:00,Shrinkage,35,-3,32,-6.69,Shrinkage,,False,
ADJ-0000286,PH-002,PRD-00288,EMP-0037,EMP-0025,2026-07-09 21:00:00,Cycle Count,0,1,1,12.21,Cycle Count,,False,
ADJ-0000287,PH-002,PRD-00575,EMP-0034,EMP-0025,2026-07-30 12:00:00,Cycle Count,28,1,29,30.01,Cycle Count,,False,
ADJ-0000288,PH-002,PRD-00314,EMP-0034,EMP-0024,2026-07-28 10:00:00,Cycle Count,87,1,88,8.45,Cycle Count,,False,
ADJ-0000289,PH-002,PRD-00383,EMP-0043,EMP-0025,2026-07-12 15:00:00,Shrinkage,90,-2,88,-41.68,Shrinkage,,False,
ADJ-0000290,PH-002,PRD-00675,EMP-0024,EMP-0034,2026-07-04 21:00:00,Shrinkage,66,-1,65,-31.02,Shrinkage,,False,
ADJ-0000291,PH-002,PRD-00397,EMP-0041,EMP-0023,2026-07-06 08:00:00,Cycle Count,32,3,35,12.12,Cycle Count,,False,
ADJ-0000292,PH-002,PRD-00364,EMP-0037,EMP-0035,2026-07-14 12:00:00,Cycle Count,78,2,80,67.58,Cycle Count,,False,
ADJ-0000293,PH-002,PRD-00348,EMP-0032,EMP-0034,2026-07-27 19:00:00,Cycle Count,68,2,70,51.7,Cycle Count,,False,
ADJ-0000294,PH-002,PRD-00605,EMP-0025,EMP-0024,2026-07-28 10:00:00,Shrinkage,8,-1,7,-24.15,Shrinkage,,False,
ADJ-0000295,PH-002,PRD-00667,EMP-0026,EMP-0035,2026-07-28 16:00:00,Shrinkage,49,-2,47,-42.68,Shrinkage,,False,
ADJ-0000296,PH-002,PRD-00376,EMP-0027,EMP-0035,2026-07-31 17:00:00,Shrinkage,14,-3,11,-4.92,Shrinkage,,False,
ADJ-0000297,PH-002,PRD-00484,EMP-0023,EMP-0023,2026-07-30 13:00:00,Cycle Count,71,3,74,74.64,Cycle Count,,False,
ADJ-0000298,PH-002,PRD-00584,EMP-0024,EMP-0023,2026-07-11 15:00:00,Cycle Count,83,1,84,13.55,Cycle Count,,False,
ADJ-0000299,PH-002,PRD-00561,EMP-0037,EMP-0025,2026-07-28 12:00:00,Shrinkage,82,-2,80,-33.02,Shrinkage,,False,
ADJ-0000300,PH-002,PRD-00354,EMP-0038,EMP-0024,2026-07-20 15:00:00,Shrinkage,64,-1,63,-33.43,Shrinkage,,False,
ADJ-0000301,PH-002,PRD-00417,EMP-0025,EMP-0035,2026-07-02 18:00:00,Shrinkage,37,-1,36,-7.57,Shrinkage,,False,
ADJ-0000302,PH-002,PRD-00387,EMP-0026,EMP-0034,2026-07-16 17:00:00,Cycle Count,67,3,70,99.75,Cycle Count,,False,
ADJ-0000303,PH-002,PRD-00233,EMP-0038,EMP-0034,2026-07-04 11:00:00,Cycle Count,48,1,49,22.63,Cycle Count,,False,
ADJ-0000304,PH-002,PRD-00610,EMP-0026,EMP-0023,2026-07-05 13:00:00,Shrinkage,62,-3,59,-8.25,Shrinkage,,False,
ADJ-0000305,PH-002,PRD-00128,EMP-0036,EMP-0035,2026-07-31 20:00:00,Cycle Count,69,1,70,10.11,Cycle Count,,False,
ADJ-0000306,PH-002,PRD-00670,EMP-0037,EMP-0025,2026-07-26 14:00:00,Shrinkage,48,-1,47,-27.07,Shrinkage,,False,
ADJ-0000307,PH-002,PRD-00189,EMP-0036,EMP-0035,2026-07-19 18:00:00,Shrinkage,97,-2,95,-50.74,Shrinkage,,False,
ADJ-0000308,PH-002,PRD-00540,EMP-0027,EMP-0025,2026-07-29 20:00:00,Shrinkage,6,-3,3,-48.15,Shrinkage,,False,
ADJ-0000309,PH-002,PRD-00777,EMP-0038,EMP-0024,2026-07-15 16:00:00,Shrinkage,74,-3,71,-42.78,Shrinkage,,False,
ADJ-0000310,PH-002,PRD-00168,EMP-0031,EMP-0023,2026-07-02 11:00:00,Shrinkage,65,-3,62,-45.06,Shrinkage,,False,
ADJ-0000311,PH-002,PRD-00065,EMP-0029,EMP-0024,2026-07-01 19:00:00,Cycle Count,34,1,35,4.15,Cycle Count,,False,
ADJ-0000312,PH-002,PRD-00768,EMP-0023,EMP-0035,2026-07-14 15:00:00,Cycle Count,21,3,24,47.97,Cycle Count,,False,
ADJ-0000313,PH-002,PRD-00375,EMP-0031,EMP-0035,2026-07-24 09:00:00,Shrinkage,0,0,0,0.0,Shrinkage,,False,
ADJ-0000314,PH-002,PRD-00181,EMP-0032,EMP-0024,2026-07-22 11:00:00,Shrinkage,28,-2,26,-26.3,Shrinkage,,False,
ADJ-0000315,PH-002,PRD-00079,EMP-0036,EMP-0024,2026-07-26 19:00:00,Shrinkage,29,-1,28,-11.39,Shrinkage,,False,
ADJ-0000316,PH-002,PRD-00613,EMP-0044,EMP-0034,2026-07-05 19:00:00,Cycle Count,41,1,42,24.81,Cycle Count,,False,
ADJ-0000317,PH-002,PRD-00687,EMP-0044,EMP-0025,2026-07-22 19:00:00,Cycle Count,12,3,15,18.09,Cycle Count,,False,
ADJ-0000318,PH-002,PRD-00425,EMP-0038,EMP-0024,2026-07-07 19:00:00,Cycle Count,4,2,6,24.54,Cycle Count,,False,
ADJ-0000319,PH-002,PRD-00403,EMP-0038,EMP-0034,2026-07-12 14:00:00,Shrinkage,32,-3,29,-59.13,Shrinkage,,False,
ADJ-0000320,PH-002,PRD-00023,EMP-0036,EMP-0023,2026-07-20 08:00:00,Cycle Count,61,1,62,3.15,Cycle Count,,False,
ADJ-0000321,PH-002,PRD-00719,EMP-0024,EMP-0025,2026-07-27 09:00:00,Shrinkage,97,-3,94,-13.89,Shrinkage,,False,
ADJ-0000322,PH-002,PRD-00299,EMP-0035,EMP-0024,2026-07-25 15:00:00,Shrinkage,92,-2,90,-30.0,Shrinkage,,False,
ADJ-0000323,PH-002,PRD-00539,EMP-0026,EMP-0024,2026-07-11 09:00:00,Shrinkage,85,-1,84,-20.53,Shrinkage,,False,
ADJ-0000324,PH-002,PRD-00795,EMP-0024,EMP-0023,2026-07-15 19:00:00,Cycle Count,68,1,69,27.11,Cycle Count,,False,
ADJ-0000325,PH-002,PRD-00300,EMP-0026,EMP-0024,2026-07-04 10:00:00,Shrinkage,31,-1,30,-27.61,Shrinkage,,False,
ADJ-0000326,PH-002,PRD-00711,EMP-0042,EMP-0023,2026-07-30 14:00:00,Cycle Count,98,2,100,39.86,Cycle Count,,False,
ADJ-0000327,PH-002,PRD-00573,EMP-0036,EMP-0024,2026-07-05 14:00:00,Shrinkage,85,-3,82,-18.9,Shrinkage,,False,
ADJ-0000328,PH-002,PRD-00450,EMP-0044,EMP-0023,2026-07-04 19:00:00,Shrinkage,64,-2,62,-54.9,Shrinkage,,False,
ADJ-0000329,PH-002,PRD-00434,EMP-0038,EMP-0023,2026-07-12 17:00:00,Cycle Count,83,3,86,44.28,Cycle Count,,False,
ADJ-0000330,PH-002,PRD-00723,EMP-0024,EMP-0024,2026-07-06 08:00:00,Shrinkage,6,-1,5,-1.96,Shrinkage,,False,
ADJ-0000331,PH-002,PRD-00112,EMP-0028,EMP-0023,2026-07-11 09:00:00,Cycle Count,85,1,86,9.09,Cycle Count,,False,
ADJ-0000332,PH-002,PRD-00776,EMP-0031,EMP-0024,2026-07-11 13:00:00,Cycle Count,95,1,96,32.05,Cycle Count,,False,
ADJ-0000333,PH-002,PRD-00800,EMP-0028,EMP-0025,2026-07-19 20:00:00,Cycle Count,47,3,50,101.94,Cycle Count,,False,
ADJ-0000334,PH-002,PRD-00625,EMP-0035,EMP-0024,2026-07-12 16:00:00,Shrinkage,35,-1,34,-23.82,Shrinkage,,False,
ADJ-0000335,PH-002,PRD-00451,EMP-0030,EMP-0024,2026-07-13 21:00:00,Shrinkage,78,-1,77,-9.8,Shrinkage,,False,
ADJ-0000336,PH-002,PRD-00243,EMP-0042,EMP-0023,2026-07-26 11:00:00,Cycle Count,40,3,43,104.28,Cycle Count,,False,
ADJ-0000337,PH-002,PRD-00750,EMP-0036,EMP-0025,2026-07-06 10:00:00,Cycle Count,70,1,71,5.54,Cycle Count,,False,
ADJ-0000338,PH-002,PRD-00263,EMP-0027,EMP-0034,2026-07-19 08:00:00,Cycle Count,33,1,34,17.47,Cycle Count,,False,
ADJ-0000339,PH-002,PRD-00524,EMP-0036,EMP-0034,2026-07-29 14:00:00,Shrinkage,90,-1,89,-17.24,Shrinkage,,False,
ADJ-0000340,PH-002,PRD-00082,EMP-0042,EMP-0025,2026-07-04 08:00:00,Shrinkage,89,-2,87,-54.42,Shrinkage,,False,
ADJ-0000341,PH-002,PRD-00287,EMP-0043,EMP-0035,2026-07-08 11:00:00,Cycle Count,84,1,85,7.45,Cycle Count,,False,
ADJ-0000342,PH-002,PRD-00089,EMP-0027,EMP-0023,2026-07-13 09:00:00,Shrinkage,9,-3,6,-90.54,Shrinkage,,False,
ADJ-0000343,PH-002,PRD-00276,EMP-0028,EMP-0034,2026-07-04 13:00:00,Cycle Count,34,1,35,27.82,Cycle Count,,False,
ADJ-0000344,PH-002,PRD-00632,EMP-0032,EMP-0023,2026-07-02 16:00:00,Shrinkage,28,-1,27,-13.55,Shrinkage,,False,
ADJ-0000345,PH-002,PRD-00368,EMP-0034,EMP-0034,2026-07-08 21:00:00,Shrinkage,34,-1,33,-1.16,Shrinkage,,False,
ADJ-0000346,PH-002,PRD-00264,EMP-0031,EMP-0024,2026-07-11 15:00:00,Shrinkage,50,-3,47,-7.23,Shrinkage,,False,
ADJ-0000347,PH-002,PRD-00456,EMP-0031,EMP-0035,2026-07-15 18:00:00,Shrinkage,71,-3,68,-51.84,Shrinkage,,False,
ADJ-0000348,PH-002,PRD-00319,EMP-0024,EMP-0025,2026-07-25 19:00:00,Shrinkage,55,-2,53,-56.68,Shrinkage,,False,
ADJ-0000349,PH-002,PRD-00421,EMP-0031,EMP-0023,2026-07-10 12:00:00,Shrinkage,32,-2,30,-19.94,Shrinkage,,False,
ADJ-0000350,PH-002,PRD-00205,EMP-0038,EMP-0035,2026-07-26 12:00:00,Cycle Count,70,2,72,58.04,Cycle Count,,False,
ADJ-0000351,PH-002,PRD-00755,EMP-0032,EMP-0024,2026-07-27 16:00:00,Cycle Count,59,1,60,16.37,Cycle Count,,False,
ADJ-0000352,PH-002,PRD-00396,EMP-0038,EMP-0024,2026-07-12 10:00:00,Shrinkage,62,-1,61,-24.63,Shrinkage,,False,
ADJ-0000353,PH-002,PRD-00039,EMP-0037,EMP-0025,2026-07-08 08:00:00,Cycle Count,87,3,90,30.3,Cycle Count,,False,
ADJ-0000354,PH-002,PRD-00236,EMP-0031,EMP-0023,2026-07-11 08:00:00,Cycle Count,49,1,50,4.59,Cycle Count,,False,
ADJ-0000355,PH-002,PRD-00469,EMP-0031,EMP-0024,2026-07-24 17:00:00,Shrinkage,4,-3,1,-21.51,Shrinkage,,False,
ADJ-0000356,PH-002,PRD-00361,EMP-0031,EMP-0034,2026-07-30 20:00:00,Cycle Count,63,3,66,60.6,Cycle Count,,False,
ADJ-0000357,PH-002,PRD-00245,EMP-0042,EMP-0034,2026-07-04 21:00:00,Cycle Count,43,1,44,10.19,Cycle Count,,False,
ADJ-0000358,PH-002,PRD-00767,EMP-0025,EMP-0025,2026-07-28 09:00:00,Cycle Count,6,3,9,97.29,Cycle Count,,False,
ADJ-0000359,PH-002,PRD-00490,EMP-0031,EMP-0034,2026-07-27 19:00:00,Shrinkage,21,-3,18,-70.41,Shrinkage,,False,
